ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
610064,7,Empire West/Maple Leaf,283,NYP,SYR,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,290,9,35,1,90,100,NULL,NULL,NULL,8,70,50,90,90,70,90,80,70,80,70,NULL,80,80,70,70,1,70,50,30,80,60,50,60,90,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,80,NULL,NULL,80,80,NULL,80,80,80,80
610065,7,Empire West/Maple Leaf,63,NYP,SYR,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,290,0,2,4,80,90,NULL,NULL,NULL,2,100,90,80,50,100,50,70,80,70,100,NULL,80,100,80,100,1,50,10,100,100,60,100,100,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,90,90,90,100,NULL,NULL,100,100,NULL,100,100,100,100
610066,7,Empire West/Maple Leaf,284,ROC,HUD,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,256,218,7,4,10,100,NULL,NULL,NULL,8,100,100,100,100,100,100,100,100,0,0,NULL,0,50,100,100,2,NULL,NULL,100,0,0,0,0,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,0,NULL,0,0,0,0
610067,7,Empire West/Maple Leaf,284,ROC,SDY,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,211,218,0,4,0,100,NULL,NULL,NULL,8,100,100,20,50,100,40,70,80,20,100,NULL,100,100,100,100,1,70,70,70,10,100,0,100,100,100,NULL,NULL,1,20,100,20,0,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,20,80,30,0,20,0,0,0,0,50,NULL,50,50,50,50
610068,7,Empire West/Maple Leaf,283,SYR,BUF,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,141,40,44,1,100,90,NULL,NULL,NULL,9,90,100,80,90,90,90,80,80,90,100,NULL,100,100,100,100,1,50,60,100,100,60,0,100,90,100,NULL,NULL,1,100,100,90,100,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,80,100,100,100,100,100,100,100,100,NULL,100,90,100,95
610069,7,Empire West/Maple Leaf,284,SYR,NYP,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,290,258,-6,4,0,50,NULL,NULL,NULL,9,80,80,30,60,30,80,80,60,30,60,NULL,0,40,50,50,1,30,10,40,0,0,0,80,50,50,NULL,NULL,1,0,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,70,70,60,50,0,NULL,0,0,20,10
610070,7,Empire West/Maple Leaf,284,SYR,NYP,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,290,258,-6,3,0,100,NULL,NULL,NULL,95,NULL,NULL,100,100,80,90,100,90,90,100,NULL,90,90,80,90,2,NULL,NULL,90,100,90,0,70,90,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,90,80,100,100,100,90,NULL,90,10,50,30
610071,7,Empire West/Maple Leaf,280,SYR,NYP,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,290,36,32,4,70,70,NULL,NULL,NULL,8,80,90,60,70,70,80,80,80,70,80,NULL,70,100,90,90,1,20,10,50,20,40,40,50,80,50,NULL,NULL,1,50,30,40,50,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,60,60,60,60,70,NULL,50,60,60,60
610072,7,Empire West/Maple Leaf,284,SYR,POU,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,217,258,9,2,0,90,NULL,NULL,NULL,8,80,80,70,70,80,70,80,80,80,70,NULL,90,100,80,70,2,NULL,NULL,50,50,80,0,90,50,70,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,20,70,30,80,20,70,60,70,70,0,NULL,10,0,0,0
610073,7,Empire West/Maple Leaf,284,UCA,NYP,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,237,204,-6,2,0,100,NULL,NULL,NULL,8,100,100,100,100,100,100,100,90,100,100,NULL,100,100,100,90,2,NULL,NULL,100,0,100,0,100,100,100,NULL,NULL,1,50,100,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,80,80,80,50,30,NULL,NULL,30,70,NULL,100,50,100,75
